source_crop_code,count
A4,18
FS632,13
FS633,13
FS639,13
FS873,13
FS879,13
FS963,13
FS969,13
FS972,13
FS973,13
FS979,13
FS872,12
FS853,10
FS962,10
FS631,10
919,9
FS960,9
FS971,9
FT12,8
FH513,8
FS870,8
FS892,8
FS899,8
FS922,8
FS871,8
FS893,7
FS630,7
FS859,7
FH511,6
FS852,6
FS921,6
FS992,6
FT91,5
FH510,5
FH522,5
FS970,5
FH440,4
FH514,4
FH521,4
LN3,4
FS993,4
FS891,4
IH090,3
B8,3
LC91,3
F6,3
FS890,3
FS850,2
IH500,2
FO020,2
FY027,2
FS991,2
FS999,2
IH390,1
IH485,1
IH620,1
IO007,1
IO009,1
FS961,1
FS851,1
IO201,1
SV91,1
LC95,1
FY074,1
LH3,1
FO008,1
IY981,1
FT71,1
