source_crop_name,count,normalized_name,suggestion_type,suggested_official_code,suggested_name_zh
甘藍-進口 改良種,16,甘藍進口改良種,unknown,,
OT曼尼薩-雙朵,15,OT曼尼薩雙朵,unknown,,
OT曼尼薩-三朵,15,OT曼尼薩三朵,unknown,,
OT曼尼薩-多朵,15,OT曼尼薩多朵,unknown,,
OT大連-雙朵,15,OT大連雙朵,unknown,,
OT大連-三朵,15,OT大連三朵,unknown,,
OT大連-多朵,15,OT大連多朵,unknown,,
OT試金石-多朵,15,OT試金石多朵,unknown,,
OT紅福特-多朵,15,OT紅福特多朵,unknown,,
OT曼尼薩,14,OT曼尼薩,unknown,,
OT試金石-三朵,14,OT試金石三朵,unknown,,
OT紅福特-三朵,14,OT紅福特三朵,unknown,,
香蕉-越旦,13,香蕉越旦,unknown,,
OT大連,12,OT大連,unknown,,
鳳梨-西瓜鳳梨,11,鳳梨西瓜鳳梨,unknown,,
專利染色水燭花,10,專利染色水燭花,unknown,,
甘藍-進口 初秋,10,甘藍進口初秋,unknown,,
OT帕雷諾-三朵,9,OT帕雷諾三朵,unknown,,
OT紅福特,9,OT紅福特,unknown,,
OT大連-單朵,9,OT大連單朵,unknown,,
其他-進口,9,其他進口,unknown,,
南瓜-進口 木瓜型,9,南瓜進口木瓜型,unknown,,
OT帕雷諾-多朵,8,OT帕雷諾多朵,unknown,,
OT試金石,7,OT試金石,unknown,,
OT紅福特-雙朵,7,OT紅福特雙朵,unknown,,
OT試金石-雙朵,7,OT試金石雙朵,unknown,,
進口臘梅,7,進口臘梅,unknown,,
雜柑-黃金檸檬,7,雜柑黃金檸檬,unknown,,
OT曼尼薩-單朵,6,OT曼尼薩單朵,unknown,,
南瓜-木瓜型 阿嬌,6,南瓜木瓜型阿嬌,unknown,,
進口針墊花,6,進口針墊花,unknown,,
進口高山羊齒,5,進口高山羊齒,unknown,,
萬壽菊,3,萬壽菊,unknown,,
白日草,3,白日草,unknown,,
OT帕雷諾-雙朵,3,OT帕雷諾雙朵,unknown,,
OT帕雷諾,3,OT帕雷諾,unknown,,
萬代蘭-巨輪混色,3,萬代蘭巨輪混色,unknown,,
OT試金石-單朵,2,OT試金石單朵,unknown,,
南瓜-進口 其他,2,南瓜進口其他,unknown,,
進口帝王花,2,進口帝王花,unknown,,
鋸齒蔓綠絨葉,2,鋸齒蔓綠絨葉,unknown,,
OT帕芳多-多朵,1,OT帕芳多多朵,unknown,,
迥香-黃,1,迥香黃,unknown,,
斑葉蘭,1,斑葉蘭,unknown,,
樊花,1,樊花,unknown,,
OT紅福特-單朵,1,OT紅福特單朵,unknown,,
進口風鈴花,1,進口風鈴花,unknown,,
虎斑木葉,1,虎斑木葉,unknown,,
OT羅賓娜-雙朵,1,OT羅賓娜雙朵,unknown,,
